corner_index,timestamp,neural_timestamp,actual_x,actual_y,actual_z,oracle_x,oracle_y,oracle_z,viterbi_x,viterbi_y,viterbi_z,smartfilter_x,smartfilter_y,smartfilter_z,neural_x,neural_y,neural_z
12,218.29329728843567,354.3576844329455,106.58669856773186,-106.8477480844854,0.0,24.917282027333552,-80.54820694375374,0.0,24.917282027333552,-80.54820694375374,0.0,106.58669856773186,-106.8477480844854,0.0,106.58669856773186,-106.8477480844854,0.0
13,245.9539518156464,386.7739267074039,144.13094441077672,-142.2221700172558,0.0,67.30881175427896,-79.7238945152603,0.0,67.30881175427896,-79.7238945152603,0.0,144.13094441077672,-142.2221700172558,0.0,144.13094441077672,-142.2221700172558,0.0
14,248.78249149697115,410.8474596172069,115.58852696129432,-157.3840508896247,0.0,67.30881175427896,-79.7238945152603,0.0,67.30881175427896,-79.7238945152603,0.0,115.58852696129432,-157.3840508896247,0.0,115.58852696129432,-157.3840508896247,0.0
15,279.09643144945085,450.9876347385433,164.4899508800643,-171.19106927929516,0.0,67.12954774456772,-124.99235656783361,0.0,67.12954774456772,-124.99235656783361,0.0,164.4899508800643,-171.19106927929516,0.0,164.4899508800643,-171.19106927929516,0.0
16,302.22324443417335,488.4968459904269,115.37051868633364,-170.5749849177633,0.0,82.52489894514206,-95.22418530734979,0.0,82.52489894514206,-95.22418530734979,0.0,115.37051868633364,-170.5749849177633,0.0,115.37051868633364,-170.5749849177633,0.0
17,333.89690855580767,510.08309447718005,137.81342228767878,-202.095303355977,0.0,127.48565426791157,-90.73947801141347,0.0,127.48565426791157,-90.73947801141347,0.0,137.81342228767878,-202.095303355977,0.0,137.81342228767878,-202.095303355977,0.0
18,337.132849995304,551.2846566522934,171.78040471701075,-163.06250744731315,0.0,127.48565426791157,-90.73947801141347,0.0,127.48565426791157,-90.73947801141347,0.0,171.78040471701075,-163.06250744731315,0.0,171.78040471701075,-163.06250744731315,0.0
19,352.12973520395167,574.1921219779819,130.62174055879726,-167.84994908843396,0.0,106.58669856773186,-106.8477480844854,0.0,106.58669856773186,-106.8477480844854,0.0,130.62174055879726,-167.84994908843396,0.0,130.62174055879726,-167.84994908843396,0.0
20,356.1697725103997,,,,,106.58669856773186,-106.8477480844854,0.0,106.58669856773186,-106.8477480844854,0.0,,,,,,
21,389.1900441440095,,,,,144.13094441077672,-142.2221700172558,0.0,144.13094441077672,-142.2221700172558,0.0,,,,,,
22,392.6221589476468,,,,,144.13094441077672,-142.2221700172558,0.0,144.13094441077672,-142.2221700172558,0.0,,,,,,
23,412.46748634338996,,,,,115.58852696129432,-157.3840508896247,0.0,115.58852696129432,-157.3840508896247,0.0,,,,,,
24,415.9022708182401,,,,,115.58852696129432,-157.3840508896247,0.0,115.58852696129432,-157.3840508896247,0.0,,,,,,
25,449.5761090435053,,,,,171.78040471701075,-163.06250744731315,0.0,164.4899508800643,-171.19106927929516,0.0,,,,,,
26,452.39922369501437,,,,,171.78040471701075,-163.06250744731315,0.0,164.4899508800643,-171.19106927929516,0.0,,,,,,
27,485.26908082427,,,,,130.62174055879726,-167.84994908843396,0.0,115.37051868633364,-170.5749849177633,0.0,,,,,,
28,511.2935383175587,,,,,130.62174055879726,-167.84994908843396,0.0,137.81342228767878,-202.095303355977,0.0,,,,,,
29,514.9268660608309,,,,,130.62174055879726,-167.84994908843396,0.0,137.81342228767878,-202.095303355977,0.0,,,,,,
30,550.068331059779,,,,,130.62174055879726,-167.84994908843396,0.0,171.78040471701075,-163.06250744731315,0.0,,,,,,
31,579.6655871442968,,,,,130.62174055879726,-167.84994908843396,0.0,130.62174055879726,-167.84994908843396,0.0,,,,,,
